lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
236,9.856761966175999e-06,0.009134080456134,False,1.9283617753899893e-07,True
237,9.856312361479008e-06,0.009134080456134,False,1.9279178728671157e-07,True
238,9.8857779127374e-06,0.009134080456134,False,2.0514501814230372e-07,True
239,9.916697481704352e-06,0.009134080456134,False,1.8792944079682896e-07,True
240,9.77724179645434e-06,0.009134080456134,False,2.0907710005926468e-07,True
241,9.872514402973142e-06,0.009134080456134,False,2.0738569690296384e-07,True
242,9.87928420503062e-06,0.009134080456134,False,1.8906688542933222e-07,True
243,9.860179305042956e-06,0.009134080456134,False,1.977843597379306e-07,True
244,9.828552265325774e-06,0.009134080456134,False,1.8866515902347665e-07,True
245,9.77788185549354e-06,0.009134080456134,False,1.9525810330724062e-07,True
246,9.832312681116291e-06,0.009134080456134,False,1.9533401305738435e-07,True
247,9.905675137818666e-06,0.009134080456134,False,1.8415519547076907e-07,True
248,9.809932772691923e-06,0.009134080456134,False,1.887092313975971e-07,True
249,9.779116894920012e-06,0.009134080456134,False,1.9823528559325137e-07,True
250,9.984416918811198e-06,0.009134080456134,False,2.0465224054438524e-07,True
251,9.827067744218376e-06,0.009134080456134,False,2.056771858938263e-07,True
252,9.881033003943868e-06,0.009134080456134,False,1.757107851073179e-07,True
253,9.842200741582994e-06,0.009134080456134,False,1.921915653971003e-07,True
254,9.846999028668421e-06,0.009134080456134,False,1.96314730300716e-07,True
255,9.731819410771383e-06,0.009134080456134,False,1.8120919732353492e-07,True
256,9.914883713754477e-06,0.009134080456134,False,2.1107488898869523e-07,True
257,9.876252553202579e-06,0.009134080456134,False,1.9235542782595328e-07,True
258,9.932222461703599e-06,0.009134080456134,False,1.9018738069335013e-07,True
259,9.93051758741589e-06,0.009134080456134,False,2.0557165129946142e-07,True
260,9.917102512959357e-06,0.009134080456134,False,2.038882692584674e-07,True
261,9.990419929739982e-06,0.009134080456134,False,1.9106128426921144e-07,True
262,9.839337425982922e-06,0.009134080456134,False,2.019757901196373e-07,True
263,9.858325114961111e-06,0.009134080456134,False,2.1012499908164112e-07,True
264,9.827417218744048e-06,0.009134080456134,False,1.8770657740964126e-07,True
265,9.839673029432904e-06,0.009134080456134,False,2.1498022681399997e-07,True
266,9.923344656236322e-06,0.009134080456134,False,2.145776687927836e-07,True
